MET4659	groot-db_RESFINDER__mef(A)_10_AF376746	132	1218
MET4665	groot-db_CARD__gb|X75439|+|476-3551|ARO:3000521|mupA	366	3075
MET1651	groot-db_CARD__gb|BX664015|-|103017-103833|ARO:3002641|APH(3')-Ia	25	817
MET1651	groot-db_ARGANNOT__(Phe)CmxA:AF024666:15877-17052:1176	88	1176
MET1651	groot-db_CARD__gb|AF024666|+|35934-37110|ARO:3002703|cmx	88	1177
MET1651	groot-db_ARGANNOT__(Phe)Cmr:U85507:3518-4693:1172	77	1176
MET1036	groot-db_RESFINDER__tet(W)_3_AJ427421	411	1920
MET1036	groot-db_RESFINDER__mecA_10_AB512767	131	2010
MET1036	groot-db_CARD__gb|AF535087|+|28-1573|ARO:3003047|qacB	298	1546
MET1036	groot-db_ARGANNOT__(Tet)TetW:AJ222769:3687-5606:1920	459	1920
MET1036	groot-db_ARGANNOT__(MLS)MphC:AF167161:5665-6564:900	81	900
MET1036	groot-db_RESFINDER__tet(W)_1_DQ060146	411	1920
MET1036	groot-db_RESFINDER__erm(C)_13_M13761	1183	735
MET1036	groot-db_CARD__gb|KC243783|+|0-2007|ARO:3000617|mecA	124	2008
MET1036	groot-db_RESFINDER__tet(Q)_1_L33696	374	1926
MET1036	groot-db_RESFINDER__mecA_14_AB505630	123	2010
MET1036	groot-db_ARGANNOT__(Bla)MECA:AB221124:91-2097:2007	139	2007
MET1036	groot-db_RESFINDER__erm(C)_15_U82607	837	735
MET1036	groot-db_RESFINDER__mecA_7_BA000018	132	2007
MET1036	groot-db_CARD__gb|AB566411|+|0-1545|ARO:3003046|qacA	357	1545
MET1036	groot-db_CARD__gb|AY566250|+|391-1555|ARO:3000391|norA	89	1165
MET1036	groot-db_RESFINDER__mecA_15_AB505628	144	2010
MET1036	groot-db_ARGANNOT__(MLS)ErmC:M19652:988-1722:735	888	735
MET1036	groot-db_CARD__gb|AE015929|-|1128933-1129419|ARO:3002865|dfrC	11	487
MET1036	groot-db_CARD__gb|X75439|+|476-3551|ARO:3000521|mupA	736	3075
MET1036	groot-db_RESFINDER__erm(C)_3_M17990	946	735
MET1036	groot-db_RESFINDER__mecA_4_AB033763	128	2007
MET1036	groot-db_CARD__gb|EU434751|+|658-2578|ARO:3000194|tetW	434	1920
MET1041	groot-db_CARD__gb|NC_009487|+|40848-42606|ARO:3000215|mecR1	88	1759
MET1041	groot-db_CARD__gb|NC_009632|+|49744-50476|ARO:3000347|ErmA	68	733
MET1041	groot-db_ARGANNOT__(MLS)MsrA:AY591760:274-1740:1467	253	1467
MET1041	groot-db_ARGANNOT__(MLS)ErmA:X03216:4551-5282:732	67	732
MET1041	groot-db_RESFINDER__erm(X)_2_X51472	76	762
MET1041	groot-db_ARGANNOT__(AGly)Spc:X02588:331-1113:783	82	783
MET1038	groot-db_RESFINDER__erm(C)_15_U82607	379	735
MET1038	groot-db_ARGANNOT__(MLS)ErmC:M19652:988-1722:735	453	735
MET1033	groot-db_RESFINDER__erm(C)_15_U82607	87	735
MET1033	groot-db_ARGANNOT__(MLS)ErmC:M19652:988-1722:735	103	735
MET1042	groot-db_ARGANNOT__(MLS)MsrA:AY591760:274-1740:1467	157	1467
MET1042	groot-db_ARGANNOT__(MLS)vgaa-LC:DQ823382:1-1569:1569	76	1569
MET1042	groot-db_CARD__gb|M12730|+|779-1514|ARO:3000250|ErmC	6207	736
MET1042	groot-db_CARD__gb|AB566411|+|0-1545|ARO:3003046|qacA	1899	1545
MET1042	groot-db_RESFINDER__erm(C)_14_M12730	6192	735
MET1042	groot-db_RESFINDER__erm(C)_16_AF019140	5750	735
MET1042	groot-db_RESFINDER__erm(C)_13_M13761	6215	735
MET1042	groot-db_CARD__gb|X75439|+|476-3551|ARO:3000521|mupA	4783	3075
MET1042	groot-db_RESFINDER__erm(C)_15_U82607	9959	735
MET1042	groot-db_RESFINDER__erm(C)_10_Y09002	5663	735
MET1042	groot-db_ARGANNOT__(MLS)ErmC:M19652:988-1722:735	12103	735
MET1043	groot-db_CARD__gb|AB566411|+|0-1545|ARO:3003046|qacA	62	1545
MET1035	groot-db_RESFINDER__erm(C)_13_M13761	492	735
MET1035	groot-db_RESFINDER__erm(C)_14_M12730	486	735
MET1035	groot-db_CARD__gb|M12730|+|779-1514|ARO:3000250|ErmC	486	736
MET1035	groot-db_RESFINDER__erm(C)_15_U82607	735	735
MET1035	groot-db_RESFINDER__erm(C)_16_AF019140	496	735
MET1035	groot-db_RESFINDER__erm(C)_10_Y09002	450	735
MET1035	groot-db_ARGANNOT__(MLS)ErmC:M19652:988-1722:735	880	735
MET1034	groot-db_ARGANNOT__(AGly)Spc:X02588:331-1113:783	527	783
MET1034	groot-db_RESFINDER__mecA_14_AB505630	581	2010
MET1034	groot-db_RESFINDER__erm(X)_2_X51472	112	762
MET1034	groot-db_ARGANNOT__(MLS)ErmA:X03216:4551-5282:732	424	732
MET1034	groot-db_RESFINDER__erm(C)_13_M13761	135	735
MET1034	groot-db_RESFINDER__mecA_10_AB512767	564	2010
MET1034	groot-db_RESFINDER__mecA_4_AB033763	611	2007
MET1034	groot-db_ARGANNOT__(MLS)ErmC:M19652:988-1722:735	160	735
MET1034	groot-db_ARGANNOT__(Bla)MECA:AB221124:91-2097:2007	588	2007
MET1034	groot-db_CARD__gb|KC243783|+|0-2007|ARO:3000617|mecA	582	2008
MET1034	groot-db_ARGANNOT__(MLS)ErmCX:AF024666:2208-2969:762	104	762
MET1034	groot-db_RESFINDER__mecA_7_BA000018	584	2007
MET1034	groot-db_RESFINDER__mecA_15_AB505628	585	2010
MET1034	groot-db_ARGANNOT__(Bla)BlaZ:AB245469:2235-3080:861	295	846
MET1034	groot-db_RESFINDER__msr(A)_1_X52085	1029	1467
MET1034	groot-db_CARD__gb|NC_009632|+|49744-50476|ARO:3000347|ErmA	424	733
MET1034	groot-db_CARD__gb|NC_009487|+|40848-42606|ARO:3000215|mecR1	398	1759
MET1034	groot-db_ARGANNOT__(MLS)MsrA:AY591760:274-1740:1467	1168	1467
MET1047	groot-db_ARGANNOT__(Bla)cfxA4:AY769933:1-966:966	69	966
